anatomy_keyword	description	Uberon_term_ID	Uberon_term_name
FMA:10636	The costocervical trunk arises from the upper and back part of the subclavian artery, behind the scalenus anterior on the right side, and medial to that muscle on the left side. Passing backward, it splits into the deep cervical artery and the supreme intercostal artery (or the Highest intercostal artery), which descends behind the pleura in front of the necks of the first and second ribs, and anastomoses with the first aortic intercostal (3rd posterior intercostal artery). As it crosses the neck of the first rib it lies medial to the anterior division of the first thoracic nerve, and lateral to the first thoracic ganglion of the sympathetic trunk. In the first intercostal space, it gives off a branch which is distributed in a manner similar to the distribution of the aortic intercostals. The branch for the second intercostal space usually joins with one from the highest aortic intercostal artery. This branch is not constant, but is more commonly found on the right side; when absent, its place is supplied by an intercostal branch from the aorta. Each intercostal gives off a posterior branch which goes to the posterior vertebral muscles, and sends a small spinal branch through the corresponding intervertebral foramen to the medulla spinalis and its membranes. [WP,unvetted].	UBERON:0004688	costo-cervical trunk
FMA:10645	An artery with its origin in the lateral terminal branch of the internal thoracic artery, with distribution to the diaphragm and the intercostal muscles, and with anastomoses to the branches of the pericardiacophrenic and inferior phrenic.	UBERON:0006632	musculo-phrenic artery
FMA:10646	An artery that arises from the internal thoracic arteryand anastomoses with the inferior epigastric artery at the umbilicus and supplies the anterior part of the abdominal wall and some of the diaphragm.	UBERON:0007153	superior epigastric artery
FMA:10647	A vein that supplies blood to the thymus.	UBERON:0018243	thymic artery
FMA:10659	The deep cervical artery (Profunda cervicalis) is an artery of the neck.	UBERON:0012321	deep cervical artery
FMA:10662	One of the three branches of the thyroid axis that supplies the thyroid gland and branches to form the ascending cervical, esophageal, inferior laryngeal, muscular and tracheal arteries.	UBERON:0007149	inferior thyroid artery
FMA:10664	The transverse cervical artery (transverse artery of neck, transversa colli artery) is a branch of the thyrocervical trunk, running at a higher level than the suprascapular artery.	UBERON:0012324	transverse cervical artery
FMA:10665	It ascends beneath the anterior margin of the trapezius, distributing branches to it, and to the neighboring muscles and lymph glands in the neck, and anastomosing with the superficial branch of the descending branch of the occipital artery.	UBERON:0001071	superficial cervical artery
FMA:10951	A vein that carries deoxygenated blood from the lower half of the body into the right atrium of the heart.	UBERON:0001072	posterior vena cava
FMA:11338	A point along the course of the gastrointestinal tract where the small intestine (ileum) ends as it opens into the cecal portion of the large intestine; occurs usually within the iliac fossa, demarcated internally as the ileocecal orifice	UBERON:0001073	ileocecal junction
FMA:11350	A potential space between the visceral and parietal layers of the pericardium.	UBERON:0001074	pericardial cavity
FMA:11355	The angled junction where the diaphragm meets the chest wall.	UBERON:0035468	costodiaphragmatic recess
FMA:11356	An anatomical cavity that surrounded_by a synovial joint.	UBERON:0007617	synovial cavity of joint
FMA:11359	luminal space of the right atrium of the heart.	UBERON:0016522	cavity of right atrium
FMA:11945	Ossified form of a vertebral centrum, a skeletal element that functionally replaces the notochord[VSAP,modified].	UBERON:0001075	bony vertebral centrum
FMA:11946	An arch-shaped structure of the vertebra that extends dorsally (neural arch) or ventrally (hemal arch) from the vertebral centrum	UBERON:0010358	arch of centrum of vertebra
FMA:11948	A extension of a neural arches dorsal to the neural canal[TAO,modified].	UBERON:0001076	neural spine
FMA:11949	The transverse or costal processes of a vertebra, two in number, project one at either side from the point where the lamina joins the pedicle, between the superior and inferior articular processes. They serve for the attachment of muscles and ligaments. [WP,unvetted].	UBERON:0001077	transverse process of vertebra
FMA:11950	the two short, thick processes, which project backward, one on either side, from the upper part of the body to the laminae	UBERON:0001078	pedicle of vertebra
FMA:11951	two broad plates directed dorsomedially from the pedicles; these fuse at the dorsal midline, and complete the dorsal wall of the vertebral foramen	UBERON:0004662	vertebra lamina
FMA:11952	Paired processes at the cephalic and caudal ends of the neural arch. They function as interlocking structures between adjacent vertebrae, and limit dorsoventral flexion and lateral movement of the column in the trunk region[AAO]. The articular processes or zygapophyses of a vertebra, in human anatomy contain two superior and two inferior, spring from the junctions of the pedicles and laminae. These stick out of an end of a vertebra to lock with a zygapophysis on the next vertebra, to make the backbone more stable. The superior processes project upward from a lower vertebra, and their articular surfaces are directed more or less backward. The inferior processes project downward from a higher vertebra, and their articular surfaces are directed more or less forward and outward. The articular surfaces are coated with hyaline cartilage.	UBERON:0006062	zygapophysis
FMA:11953	Paired processes at the cephalic end of the neural arch. The articular facets of the prezygapophyses face dorsomedially and articulate with the lateroventrally facing facets of the postzygapophyses of the preceding vertebra.	UBERON:0001079	prezygapophysis
FMA:11954	Paired processes at the caudal end of the neural arch. The articular facets of the postzygapophyses face lateroventrally and articulate with the dorsomedially facing facets of the prezygapophyses of the succeeding vertebra.	UBERON:0001080	postzygapophysis
FMA:12148	Endocardium that is part of the cardiac ventricle.	UBERON:0001081	endocardium of ventricle
FMA:12150	An epicardial layer that lines a cardiac ventricle	UBERON:0001082	epicardium of ventricle
FMA:12151	Muscular layer of the cardiac ventricle composed of a compact myocardial layer surrounding the trabecular layer.	UBERON:0001083	myocardium of ventricle
FMA:12154	one of the group of myocardial bundles which terminate in the chordae tendineae that attach to the cusps of the atrioventricular valves; each ventricle has an anterior and a posterior papillary muscle; the right ventricle sometimes has a septal papillary muscle	UBERON:0002494	papillary muscle of heart
FMA:12166	A zone of skin that is part of a head [Automatically generated definition].	UBERON:0001084	skin of head
FMA:12167	A zone of skin that is part of a trunk [Automatically generated definition].	UBERON:0001085	skin of trunk
FMA:12224	A tube in the respiratory system. Examples: bronchus, bronchiole, trachea.	UBERON:0000117	respiratory tube
FMA:12225	The tendinous strands that connect the papillary muscles on the wall of the ventricles to the leaflets of the atrioventricular valves; the chordae tendineae serve to prevent the AV valves from prolapsing back into the atria	UBERON:0005994	chorda tendineae
FMA:12226	The prominent ridges of atrial myocardium located on the inner surface of most of the right atrium and both the right and left auricular regions[MP].	UBERON:0005980	pectinate muscle
FMA:12234	A loose connective tissue sheath surrounding each peripheral nerve. Composed mainly of colagen and fibroblasts, it forms a substantial covering over nerve trunks, then thins to an incomplete layer around smaller branches near their terminations. The epineurium is continuous centrally with the dura. Peripherally, it usually ends near the termination of a nerve fiber, but it may continue as the capsule of Meissner corpuscles and a few other encapsulated endings. Nolte, J. The Human Brain 3rd edition	UBERON:0000124	epineurium
FMA:12235	A slender neuron projection bundle[FBbt]; A bundle of anatomical fibers, as of muscle or nerve (American Heritage Dictionary 4th ed).	UBERON:0001019	nerve fasciculus
FMA:12237		UBERON:0002558	organ cavity
FMA:12241		UBERON:0035809	serous cavity
FMA:12243	A space in the rib cage between two successive ribs.	UBERON:0012198	intercostal space
FMA:12264	A thin layer of cartilage, usually hyaline, on the articular surface of bones in synovial joints.	UBERON:0010996	articular cartilage of joint
FMA:12266	The part of the ventral body cavity that is within the abdomen proper (excluding the pelvic cavity).	UBERON:0003684	abdominal cavity
FMA:12267	The part of the ventral body cavity that is within the abdominal segment of the trunk, which encompasses the abdomen proper plus pelvic cavity.	UBERON:0035819	abdominopelvic cavity
FMA:12273	Transudate contained in the pleural cavity.	UBERON:0001087	pleural fluid
FMA:12274	Excretion that is the output of a kidney	UBERON:0001088	urine
FMA:12275	Secretion produced by a sweat gland.	UBERON:0001089	sweat
FMA:12276	Any bodily fluid that has passed through a membrane such as the capillary wall, as a result of unbalanced hydrostatic and osmotic forces	UBERON:0007779	transudate
FMA:12277	Joint fluid is a transudate of plasma that is actively secreted by synovial cells.	UBERON:0001090	synovial fluid
FMA:12513	The core globe-shaped component of the camera-type eye.	UBERON:0010230	eyeball of camera-type eye
FMA:12514	An eye that is part of a right side of organism [Automatically generated definition].	UBERON:0004549	right eye
FMA:12515	An eye that is part of a left side of organism [Automatically generated definition].	UBERON:0004548	left eye
FMA:12516	Skeletal element within the mouth (or in some species, upper part of the digestive tract) that is composed of dentine and is used in procuring or masticating food.	UBERON:0001091	calcareous tooth
FMA:12519	The first vertebral bone in the vertebral column.	UBERON:0001092	vertebral bone 1
FMA:12520	The second vertebral bone in the vertebral column.	UBERON:0001093	vertebral bone 2
FMA:12521	The third of the seven cervical vertebrae[ncit,modified].	UBERON:0004612	mammalian cervical vertebra 3
FMA:12522	The fourth of the seven cervical vertebrae[ncit,modified].	UBERON:0004613	mammalian cervical vertebra 4
FMA:12523	The fifth of the seven cervical vertebrae[ncit,modified].	UBERON:0004614	mammalian cervical vertebra 5
FMA:12524	The sixth of the seven cervical vertebrae[ncit,modified].	UBERON:0004615	mammalian cervical vertebra 6
FMA:12525	Vertebra prominens is the proper name for the seventh cervical vertebra. The most distinctive characteristic of this vertebra is the existence of a long and prominent spinous process which is palpable from the skin surface, hence the name. This spinous process is thick, nearly horizontal in direction, not bifurcated, but terminating in a tubercle to which the lower end of the ligamentum nuchae is attached. The seventh cervical vertebra (C7) has the most prominent spinous process only in about 70% of people; in the remainder, either C6 or T1 (the first thoracic vertebra) will be the most prominent. The transverse processes are of considerable size, their posterior roots are large and prominent, while the anterior are small and faintly marked; the upper surface of each has usually a shallow sulcus for the eighth spinal nerve, and its extremity seldom presents more than a trace of bifurcation. The foramen transversarium may be as large as that in the other cervical vertebrae, but is generally smaller on one or both sides; occasionally it is double, sometimes it is absent. On the left side it occasionally gives passage to the vertebral artery; more frequently the vertebral vein traverses it on both sides; but the usual arrangement is for both artery and vein to pass in front of the transverse process, and not through the foramen. Sometimes the anterior root of the transverse process attains a large size and exists as a separate bone, which is known as a cervical rib.	UBERON:0004616	mammalian cervical vertebra 7
FMA:12526	A vertebra bone that is part of the sacral region of the vertebral column.	UBERON:0001094	sacral vertebra
FMA:12527	Any vertebral bone that is part of the caudal region of the vertebral column (tail or coccyx).	UBERON:0001095	caudal vertebra
FMA:12611	An anatomical wall that is part of a esophagus [Automatically generated definition].	UBERON:0001096	wall of esophagus
FMA:12767	A lymph node that is located close to the surface.	UBERON:0015917	superficial lymph node
FMA:12768	A lymph node that is located deeper within the organism, further from the surface.	UBERON:0015918	deep lymph node
FMA:12769	The superficial lateral cervical lymph nodes are found in proximity to the external jugular vein.	UBERON:0012308	superficial lateral cervical lymph node
FMA:12770	The deep lateral cervical lymph nodes are found near the upper part of the internal jugular vein in the neck, lateral or posterior to the carotid sheath.	UBERON:0012310	deep lateral cervical lymph node
FMA:12771	the lymph nodes located around the axillary vein that receive lymphatic drainage from the upper or forelimb, scapular region and pectoral region	UBERON:0001097	axillary lymph node
FMA:12772	A lymph node that is part of a thorax. Includes lymph nodes of the lungs and mediastinal lymph nodes	UBERON:0007644	thoracic lymph node
FMA:12774	A lymph node that is part of a mediastinum. Each consists of several lymph node groups, especially along the trachea (5 groups), along the esophagus and between the lung and the diaphragm. In the mediastinal lymph nodes arises lymphatic ducts, which draines the lymph to the left subclavian vein (to the venous angle in the confluence of the subclavian and deep jugular veins). The mediastinal lymph nodes along the esophagus are in tight connection with the abdominal lymph nodes along the esophagus and the stomach. That fact facilitates spreading of tumors cells through these lymphatics in cases of cancers of the stomach and particularly of the esophagus. Through the mediastinum, the main lymphatic drainage from the abdominal organs goes via the thoracic duct (ductus thoracicus), which drains majority of the lymph from the abdomen to the above mentioned left venous angle.	UBERON:0002524	mediastinal lymph node
FMA:12775	A lymph node located in the superior mediastinum that collects lymph from the thymus, the pericardium, and the right side of the heart.	UBERON:0035520	anterior mediastinal lymph node
FMA:12776	The superficial anterior cervical lymph nodes are found in proximity to the anterior jugular vein.	UBERON:0012309	superficial anterior cervical lymph node
FMA:12779	The deep anterior cervical lymph nodes are found near the middle cricothyroid ligament and the trachea.	UBERON:0012311	deep anterior cervical lymph node
FMA:12787	A lymph node that is part of an abdomen [Automatically generated definition].	UBERON:0002507	abdominal lymph node
FMA:12792	the visceral glands that are associated with the branches of the celiac artery, including the gastric, hepatic, and pancreaticolienal (splenic) lymph nodes	UBERON:0002508	celiac lymph node
FMA:12795	The lymph nodes located in the mesentery, of which there are 3 classes: ileocolic, juxtaintestinal mesenteric, and central superior group.	UBERON:0002509	mesenteric lymph node
FMA:12796	A lymph node along the left gastric artery or greater omentum.	UBERON:0015863	gastric lymph node
FMA:12798	Any of the lymph nodes adjacent to the stomach and duodenum.	UBERON:0015859	hepatic lymph node
FMA:12799	lymph nodes of the pancreatic tail and spleen, receiving afferents from both organs plus the greater curvature of the stomach; they drain to the celiac lymph nodes.	UBERON:0015865	pancreaticosplenic lymph node
FMA:12800	Any lymph node within the abdominal pelvic region.	UBERON:0015876	pelvic lymph node
FMA:12802		UBERON:0015866	pyloric lymph node
FMA:12804		UBERON:0015867	cystic lymph node
FMA:12805		UBERON:0015868	lymph node of epiploic foramen
FMA:12806	The external iliac lymph nodes, from eight to ten in number, lie along the external iliac vessels. They are arranged in three groups, one on the lateral, another on the medial, and a third on the anterior aspect of the vessels; the third group is, however, sometimes absent. Their principal afferents are derived from the inguinal lymph nodes, the deep lymphatics of the abdominal wall below the umbilicus and of the adductor region of the thigh, and the lymphatics from the glans penis vel clitoridis, the membranous urethra, the prostate, the fundus of the urinary bladder, the cervix uteri, and upper part of the vagina.	UBERON:0015878	common iliac lymph node
FMA:12823	Incisors are the first kind of tooth in heterodont mammals. They are located in the premaxilla above and mandible below. [WP,unvetted].	UBERON:0001098	incisor tooth
FMA:12824	A subdivision of the trunk that is comprised of the epigastrium and the anterior lower thorax.	UBERON:0019320	precordial region
FMA:12831	The anterior intercostal veins are the veins which drain the anterior intercostal space.	UBERON:0012200	anterior intercostal vein
FMA:12845	A vein that runs along the bottom of the lowest rib. Each subcostal vein gives off a posterior (dorsal) branch which has a similar distribution to the posterior ramus of an intercostal artery. [WP,modified].	UBERON:0001099	subcostal vein
FMA:12846	Vein of heart that drains the myocardium	UBERON:0004148	cardiac vein
FMA:13072	The first lumbar vertebra counting from the top down. Note that members of this class are not necessarily homologous[ncit,modified].	UBERON:0004617	lumbar vertebra 1
FMA:13073	The second lumbar vertebra counting from the top down. Note that members of this class are not necessarily homologous[ncit,modified].	UBERON:0004618	lumbar vertebra 2
FMA:13074	The third lumbar vertebra counting from the top down. Note that members of this class are not necessarily homologous[ncit,modified].	UBERON:0004619	lumbar vertebra 3
FMA:13075	The fourth lumbar vertebra counting from the top down. Note that members of this class are not necessarily homologous[ncit,modified].	UBERON:0004620	lumbar vertebra 4
FMA:13076	The fifth lumbar vertebra counting from the top down. Note that members of this class are not necessarily homologous[ncit,modified].	UBERON:0004621	lumbar vertebra 5
FMA:13077		UBERON:0004622	sacral vertebra 1
FMA:13078		UBERON:0004623	sacral vertebra 2
FMA:13079		UBERON:0004624	sacral vertebra 3
FMA:13080		UBERON:0004625	sacral vertebra 4
FMA:13082		UBERON:0016920	descending trunk of arch of aorta
FMA:13087	Any portion of the aorta including the ascending and descending aorta, and aortic arch or a portion of the aortic orifice of the left ventricle.	UBERON:0005800	section of aorta
FMA:13109	The Pectoralis minor is a thin, triangular muscle, situated at the upper part of the chest, beneath the Pectoralis major. [WP,unvetted].	UBERON:0001100	pectoralis minor
FMA:13110	The external jugular vein receives the greater part of the blood from the exterior of the cranium and the deep parts of the face, being formed by the junction of the posterior division of the posterior facial with the posterior auricular vein. [WP,unvetted].	UBERON:0001101	external jugular vein
FMA:13115	A mucosa that is part of a main bronchus [Automatically generated definition].	UBERON:0005036	mucosa of main bronchus
FMA:13116	An anatomical cavity that is part of a main bronchus.	UBERON:0012083	lumen of primary bronchus
FMA:13117	A cartilage that is part of a main bronchus [Automatically generated definition].	UBERON:0001102	cartilage of main bronchus
FMA:13118	A submucosa that is part of a main bronchus [Automatically generated definition].	UBERON:0004949	submucosa of main bronchus
FMA:13119		UBERON:0019190	mucous gland of lung
FMA:13137	A mucosa that is part of a right main bronchus [Automatically generated definition].	UBERON:0005034	mucosa of right main bronchus
FMA:13138	A mucosa that is part of a left main bronchus [Automatically generated definition].	UBERON:0005035	mucosa of left main bronchus
FMA:13139	A submucosa that is part of a right main bronchus [Automatically generated definition].	UBERON:0004947	submucosa of right main bronchus
FMA:13140	A submucosa that is part of a left main bronchus [Automatically generated definition].	UBERON:0004948	submucosa of left main bronchus
FMA:13146	Epithelium composed of a single layer of cells, appearing as layered because the column-shaped cells vary in height so the nuclei are at different levels. The basal portions of all the cells are in contact with the basement membrane. It lines the respiratory system and the male reproductive tract. The cilia in the respiratory tract are motile, while the stereocilia in the male reproductive tract are immobile.	UBERON:0010499	pseudostratified ciliated columnar epithelium
FMA:13224		UBERON:0034698	inflow tract of ventricle
FMA:13225	A ventricular outflow tract is a portion of either the left ventricle or right ventricle of the heart through which blood passes in order to enter the great arteries. The right ventricular outflow tract (RVOT) is an infundibular extension of the ventricular cavity which connects to the pulmonary artery. The left ventricular outflow tract (LVOT), which connects to the aorta, is nearly indistinguishable from the rest of the ventricle[WP].	UBERON:0005337	outflow tract of ventricle
FMA:13234	An endocardium that is part of a atrium auricular region.	UBERON:0011005	endocardium of auricle
FMA:13235	An endocardium that is part of a right atrium auricular region.	UBERON:0011007	endocardium of right auricle
FMA:13236	An endocardium that is part of a left atrium auricular region.	UBERON:0011006	endocardium of left auricle
FMA:13246	The portion of the cavity of the right atrium of the heart that receives the blood from the vena cavae and is separated from the rest of the atrium by the crista terminalis	UBERON:0005981	vena cava sinus
FMA:13295	A thin musculomebranous barrier that separates the abdominal and thoracic cavities. Often used for breathing control	UBERON:0001103	diaphragm
FMA:13303	Paired endochondral long bone that extends between the pectoral girdle and the skeletal parts of the forelimb. [PHENOSCAPE:mah]	UBERON:0000976	humerus
FMA:13304	Hemispherical structure on proximal epiphysis of humerus that articulates with glenoid cavity[WP,modified].	UBERON:0006801	proximal head of humerus
FMA:13305	The body or shaft of the humerus is almost cylindrical in the upper half of its extent, prismatic and flattened below, and has three borders and three surfaces.	UBERON:0004652	humerus diaphysis
FMA:13315	An angle of the scapula formed by the union of the vertebral and axillary borders; its dorsal surface affords attachment to the Teres major and frequently to a few fibers of the Latissimus dorsi.[WP,unvetted]	UBERON:0007175	inferior angle of scapula
FMA:13318	The anterior jugular vein begins near the hyoid bone by the confluence of several superficial veins from the submaxillary region. It descends between the median line and the anterior border of the Sternocleidomastoideus, and, at the lower part of the neck, passes beneath that muscle to open into the termination of the external jugular, or, in some instances, into the subclavian vein. It varies considerably in size, bearing usually an inverse proportion to the external jugular; most frequently there are two anterior jugulars, a right and left; but sometimes only one. Its tributaries are some laryngeal veins, and occasionally a small thyroid vein. Just above the sternum the two anterior jugular veins communicate by a transverse trunk, the venous jugular arch, which receive tributaries from the inferior thyroid veins; each also communicates with the internal jugular. There are no valves in this vein. [WP,unvetted].	UBERON:0001104	anterior jugular vein
FMA:13321	A paired dermal or endochondral bone that is part of the pectoral girdle. The clavicle may be in contact with the interclavicle or coracoid and forms an attachment site for pectoral musculature. [PHENOSCAPE:ad].	UBERON:0001105	clavicle bone
FMA:13322	A clavicle that is in the right side of a entire appendicular skeleton.	UBERON:0008255	right clavicle
FMA:13323	A clavicle that is in the left side of a entire appendicular skeleton.	UBERON:0008256	left clavicle
FMA:13324	A superficial vein of the upper limb that communicates with the basilic vein via the median cubital vein at the elbow and is located in the superficial fascia along the anterolateral surface of the biceps brachii muscle. Superiorly the cephalic vein passes between the deltoid and pectoralis major muscles and through the deltopectoral triangle, where it empties into the axillary vein. It is often visible through the skin, and its location in the deltopectoral groove is fairly consistent, making this site a good candidate for cannulation. It is often referred to as the 'House-man's Friend' for this reason and is generally a good place for cannulaton when a large bore cannula needs to be sited. [WP,modified].	UBERON:0001106	cephalic vein
FMA:13329	Vein that drains the axilla	UBERON:0000985	axillary vein
FMA:13332		UBERON:0007145	dome of diaphragm
FMA:13333		UBERON:0007167	right dome of diaphragm
FMA:13334		UBERON:0007166	left dome of diaphragm
FMA:13335	The lateral abdominal wall muscle that is the most superficial, immediately superficial to the internal oblique.	UBERON:0005442	abdominal external oblique muscle
FMA:13338	The infrahyoid muscles are a group of four pairs of muscles in the anterior part of the neck. (The term infrahyoid refers to the region below to the hyoid bone in the neck. ) Collectively, they are referred to as the strap muscles, because the muscles are long and flat much like a strap.	UBERON:0008523	infrahyoid muscle
FMA:13341	The sternohyoid muscle is a thin, narrow muscle attaching the hyoid bone to the sternum, one of the paired strap muscles of the infrahyoid muscles serving to depress the hyoid bone. It is innervated by the ansa cervicalis. The muscle arises from the posterior border of the medial end of the clavicle, the posterior sternoclavicular ligament, and the upper and posterior part of the manubrium sterni. Passing upward and medially, it is inserted by short tendinous fibers into the lower border of the body of the hyoid bone. [WP,unvetted].	UBERON:0001107	sternohyoid muscle
FMA:13342	The omohyoid muscle is a muscle at the front of the neck that consists of two bellies separated by an intermediate tendon. It belongs to the group of infrahyoid muscles. [WP,unvetted].	UBERON:0001108	omohyoid muscle
FMA:13343	The Sternothyreoideus (or Sternothyroid muscle) is shorter and wider than the Sternohyoideus, beneath which it is situated. It arises from the posterior surface of the manubrium sterni, below the origin of the Sternohyoideus, and from the edge of the cartilage of the first rib, and sometimes that of the second rib, it is inserted into the oblique line on the lamina of the thyroid cartilage. This muscle is in close contact with its fellow at the lower part of the neck, but diverges somewhat as it ascends; it is occasionally traversed by a transverse or oblique tendinous inscription. [WP,unvetted].	UBERON:0001109	sternothyroid muscle
FMA:13344	The thyrohyoid muscle is a small, quadrilateral muscle appearing like an upward continuation of the Sternothyreoideus. It belongs to the infrahyoid muscles group. It arises from the oblique line on the lamina of the thyroid cartilage, and is inserted into the lower border of the greater cornu of the hyoid bone. [WP,unvetted].	UBERON:0001110	thyrohyoid muscle
FMA:13354	the respiratory muscles that arise from the lower border of one rib and insert into the upper border of the adjoining rib	UBERON:0001111	intercostal muscle
FMA:13357	The latissimus dorsi is the larger, flat, dorso-lateral muscle on the trunk, posterior to the arm, and partly covered by the trapezius on its median dorsal region. [WP,unvetted].	UBERON:0001112	latissimus dorsi muscle
FMA:13361	Traditional gross anatomy divided the liver into four lobes based on surface features. The falciform ligament is visible on the front (anterior side) of the liver. This divides the liver into a left anatomical lobe, and a right anatomical lobe.	UBERON:0001113	lobe of liver
FMA:13362	The right lobe is much larger than the left; the proportion between them being as six to one. It occupies the right hypochondrium, and is separated from the left lobe on its upper surface by the falciform ligament; on its under and posterior surfaces by the left sagittal fossa; and in front by the umbilical notch. It is of a somewhat quadrilateral form, its under and posterior surfaces being marked by three fossæ: the porta and the fossæ for the gall-bladder and inferior vena cava, which separate its left part into two smaller lobes; the quadrate and caudate lobes. [WP,unvetted].	UBERON:0001114	right lobe of liver
FMA:13363	The left lobe is smaller and more flattened than the right. It is situated in the epigastric and left hypochondriac regions. Its upper surface is slightly convex and is moulded on to the diaphragm; its under surface presents the gastric impression and omental tuberosity. [WP,unvetted].	UBERON:0001115	left lobe of liver
FMA:13364	The quadrate lobe is an area of the liver situated on the under surface of the right lobe, bounded in front by the anterior margin of the liver; behind by the porta hepatis; on the right, by the fossa for the gall-bladder; and on the left, by the fossa for the umbilical vein. It is oblong in shape, its antero-posterior diameter being greater than its transverse. [WP,unvetted].	UBERON:0001116	quadrate lobe of liver
